Dataset,Encoding,Overlap,DropFrom,Fuzzy Rate,Greedy Rate,Combined Rate
euro_person.tsv,BloomFilter,0.8,Both,0.0054,0.204,0.2077
euro_person.tsv,BloomFilter,0.8,Eve,0.005,0.2848,0.2875
euro_person.tsv,TabMinHash,0.2,Both,0.0008,0.0051,0.0058
euro_person.tsv,TabMinHash,0.2,Eve,0.0001,0.0,0.0001
euro_person.tsv,TabMinHash,0.4,Both,0.0027,0.0545,0.057
euro_person.tsv,TabMinHash,0.4,Eve,0.0,0.0,0.0
euro_person.tsv,TabMinHash,0.6,Both,0.0022,0.0668,0.0684999999999999
euro_person.tsv,TabMinHash,0.6,Eve,0.0033,0.0602,0.0629
euro_person.tsv,TabMinHash,0.8,Both,0.0004,0.0007,0.0011
euro_person.tsv,TabMinHash,0.8,Eve,0.0023,0.0152,0.0175
euro_person.tsv,TwoStepHash,0.2,Both,0.0,0.0,0.0
euro_person.tsv,TwoStepHash,0.2,Eve,0.0019,0.0289,0.0306999999999999
euro_person.tsv,TwoStepHash,0.4,Both,0.0008,0.0021,0.0029
euro_person.tsv,TwoStepHash,0.4,Eve,0.0023,0.0516,0.0535
euro_person.tsv,TwoStepHash,0.6,Both,0.0059,0.1730999999999999,0.1778
euro_person.tsv,TwoStepHash,0.6,Eve,0.0049,0.2237,0.2268
euro_person.tsv,TwoStepHash,0.8,Both,0.0065,0.2185,0.2219
euro_person.tsv,TwoStepHash,0.8,Eve,0.0058,0.2212,0.2248
fakename_10k.tsv,BloomFilter,0.2,Both,0.0,0.0,0.0
fakename_10k.tsv,BloomFilter,0.2,Eve,0.0,0.0,0.0
fakename_10k.tsv,BloomFilter,0.4,Both,0.0,0.0,0.0
fakename_10k.tsv,BloomFilter,0.4,Eve,0.0235,0.044,0.0662
fakename_10k.tsv,BloomFilter,0.6,Both,0.0269,0.0559999999999999,0.0797
fakename_10k.tsv,BloomFilter,0.6,Eve,0.0355,0.0793,0.1113
fakename_10k.tsv,BloomFilter,0.8,Both,0.0024,0.0,0.0024
fakename_10k.tsv,BloomFilter,0.8,Eve,0.0115,0.0165,0.0279999999999999
fakename_10k.tsv,TabMinHash,0.2,Both,0.0,0.0,0.0
fakename_10k.tsv,TabMinHash,0.2,Eve,0.0,0.0,0.0
fakename_10k.tsv,TabMinHash,0.4,Both,0.0,0.0,0.0
fakename_10k.tsv,TabMinHash,0.4,Eve,0.002,0.0007,0.0027
fakename_10k.tsv,TabMinHash,0.6,Both,0.0021,0.001,0.0031
fakename_10k.tsv,TabMinHash,0.6,Eve,0.02,0.0352,0.0545
fakename_10k.tsv,TabMinHash,0.8,Both,0.0095,0.0208,0.0297
fakename_10k.tsv,TabMinHash,0.8,Eve,0.019,0.0329,0.0516
fakename_10k.tsv,TwoStepHash,0.2,Both,0.0002,0.0,0.0002
fakename_10k.tsv,TwoStepHash,0.2,Eve,0.0017,0.0093999999999999,0.0111
fakename_10k.tsv,TwoStepHash,0.4,Both,0.0043,0.0195,0.0235
fakename_10k.tsv,TwoStepHash,0.4,Eve,0.0027,0.0135,0.016
fakename_10k.tsv,TwoStepHash,0.6,Both,0.0,0.0,0.0
fakename_10k.tsv,TwoStepHash,0.6,Eve,0.034,0.0788,0.1105
fakename_10k.tsv,TwoStepHash,0.8,Both,0.0084,0.048,0.0558
fakename_10k.tsv,TwoStepHash,0.8,Eve,0.0,0.0,0.0
fakename_1k.tsv,BloomFilter,0.4,Both,0.0,0.0,0.0
fakename_1k.tsv,BloomFilter,0.4,Eve,0.0,0.0,0.0
fakename_1k.tsv,BloomFilter,0.6,Both,0.0,0.0,0.0
fakename_1k.tsv,BloomFilter,0.6,Eve,0.0,0.0,0.0
fakename_1k.tsv,BloomFilter,0.8,Both,0.0,0.0,0.0
fakename_1k.tsv,BloomFilter,0.8,Eve,0.0,0.0,0.0
fakename_1k.tsv,TabMinHash,0.4,Both,,,
fakename_1k.tsv,TabMinHash,0.4,Eve,0.0,0.0,0.0
fakename_1k.tsv,TabMinHash,0.6,Both,0.0,0.0,0.0
fakename_1k.tsv,TabMinHash,0.6,Eve,0.0,0.0,0.0
fakename_1k.tsv,TabMinHash,0.8,Both,0.0,0.0,0.0
fakename_1k.tsv,TabMinHash,0.8,Eve,0.0,0.0,0.0
fakename_1k.tsv,TwoStepHash,0.4,Eve,0.0,0.0,0.0
fakename_1k.tsv,TwoStepHash,0.6,Both,0.0,0.0,0.0
fakename_1k.tsv,TwoStepHash,0.6,Eve,0.0,0.0,0.0
fakename_1k.tsv,TwoStepHash,0.8,Both,0.0,0.0,0.0
fakename_1k.tsv,TwoStepHash,0.8,Eve,0.0,0.0,0.0
fakename_20k.tsv,BloomFilter,0.2,Eve,0.0022,0.0013,0.0034
fakename_20k.tsv,BloomFilter,0.4,Eve,0.0379,0.0928,0.1268
fakename_20k.tsv,BloomFilter,0.6,Eve,0.0464,0.1375,0.1776
fakename_20k.tsv,BloomFilter,0.8,Both,0.0369,0.0674,0.1031
fakename_20k.tsv,BloomFilter,0.8,Eve,0.0515,0.1488,0.1925
fakename_20k.tsv,TabMinHash,0.2,Both,0.0,0.0,0.0
fakename_20k.tsv,TabMinHash,0.2,Eve,0.0,0.0,0.0
fakename_20k.tsv,TabMinHash,0.4,Both,0.0045,0.0033,0.0079
fakename_20k.tsv,TabMinHash,0.4,Eve,0.0179,0.0368,0.0541
fakename_20k.tsv,TabMinHash,0.6,Both,0.0002,0.0002,0.0003
fakename_20k.tsv,TabMinHash,0.6,Eve,0.0233999999999999,0.051,0.073
fakename_20k.tsv,TabMinHash,0.8,Both,0.0293,0.0762999999999999,0.1032
fakename_20k.tsv,TabMinHash,0.8,Eve,0.031,0.1082,0.1347
fakename_20k.tsv,TwoStepHash,0.2,Eve,0.0208,0.0371,0.0573
fakename_20k.tsv,TwoStepHash,0.4,Eve,0.039,0.0966,0.132
fakename_20k.tsv,TwoStepHash,0.8,Both,0.0129,0.012,0.0249
fakename_20k.tsv,TwoStepHash,0.8,Eve,0.0516999999999999,0.1903,0.23
fakename_2k.tsv,BloomFilter,0.4,Both,0.0,0.0,0.0
fakename_2k.tsv,BloomFilter,0.4,Eve,0.0,0.0,0.0
fakename_2k.tsv,BloomFilter,0.6,Both,0.0,0.0,0.0
fakename_2k.tsv,BloomFilter,0.6,Eve,0.005,0.0,0.005
fakename_2k.tsv,BloomFilter,0.8,Both,0.003,0.0,0.003
fakename_2k.tsv,BloomFilter,0.8,Eve,0.0075,0.0075,0.015
fakename_2k.tsv,TabMinHash,0.4,Eve,0.0,0.0,0.0
fakename_2k.tsv,TabMinHash,0.6,Both,0.0,0.0,0.0
fakename_2k.tsv,TabMinHash,0.6,Eve,0.0,0.0,0.0
fakename_2k.tsv,TabMinHash,0.8,Both,0.0,0.0,0.0
fakename_2k.tsv,TabMinHash,0.8,Eve,0.0,0.0,0.0
fakename_2k.tsv,TwoStepHash,0.2,Eve,0.0,0.0,0.0
fakename_2k.tsv,TwoStepHash,0.4,Both,0.0,0.0,0.0
