Variable1,Variable2,Correlation,Strength
ReidentificationRate,PrivacyRisk,1.0,Strong
ReidentificationRate,ReidentificationRatePercent,0.9999999999999998,Strong
ReidentificationRatePercent,PrivacyRisk,0.9999999999999998,Strong
TrainedF1,TrainedDice,0.9999999995574949,Strong
HypOpF1,HypOpDice,0.9999999992799506,Strong
LenTrain,LenVal,0.999999921030647,Strong
ReidentificationRateGreedy,ReidentificationRatePercent,0.9876787433943575,Strong
ReidentificationRate,ReidentificationRateGreedy,0.9876787433943568,Strong
ReidentificationRateGreedy,PrivacyRisk,0.9876787433943568,Strong
ApplicationtoEncodedDataTime,RefinementandReconstructionTime,0.9684202012426948,Strong
HypOpRecall,HypOpDice,0.9635886713706543,Strong
HypOpF1,HypOpRecall,0.9635882729823791,Strong
TrainedRecall,TrainedDice,0.9326296164684375,Strong
TrainedRecall,TrainedF1,0.9326293389967728,Strong
HyperparameterOptimizationTime,TotalRuntime,0.9109981500972151,Strong
TrainedDice,HypOpDice,0.9083408283030007,Strong
TrainedF1,HypOpDice,0.9083398159060253,Strong
TrainedDice,HypOpF1,0.9083385561282366,Strong
TrainedF1,HypOpF1,0.9083375439518907,Strong
ReidentificationRateFuzzy,ReidentificationRatePercent,0.9043095187608788,Strong
ReidentificationRateFuzzy,PrivacyRisk,0.9043095187608788,Strong
ReidentificationRate,ReidentificationRateFuzzy,0.9043095187608788,Strong
TrainedDice,TrainingEfficiency,0.9028638041402499,Strong
TrainedF1,TrainingEfficiency,0.9028634333900111,Strong
TrainedDice,HypOpRecall,0.8933445402911417,Strong
TrainedF1,HypOpRecall,0.8933424718261841,Strong
TrainedPrecision,HypOpPrecision,0.8888867752549995,Strong
HypOpF1,HypOpPrecision,0.8758002696335802,Strong
HypOpPrecision,HypOpDice,0.8757980099759295,Strong
TrainedPrecision,HypOpDice,0.8683330284371,Strong
TrainedPrecision,HypOpF1,0.8683288068487088,Strong
RefinementandReconstructionTime,DatasetSize,0.8628609771451111,Strong
TrainedRecall,HypOpRecall,0.8626572601508973,Strong
TrainedRecall,TrainingEfficiency,0.8441709009032669,Strong
ApplicationtoEncodedDataTime,DatasetSize,0.8425320431209917,Strong
TrainedRecall,HypOpDice,0.8340045011568207,Strong
TrainedRecall,HypOpF1,0.8340031897477462,Strong
ReidentificationRateFuzzy,ReidentificationRateGreedy,0.8266782292554269,Strong
TrainedPrecision,TrainedDice,0.8082420059806599,Strong
TrainedPrecision,TrainedF1,0.80824027860586,Strong
HypOpValLoss,HypOpPrecision,-0.805291267399078,Strong
HypOpDice,TrainingEfficiency,0.8029385294839767,Strong
HypOpF1,TrainingEfficiency,0.8029359231774353,Strong
HypOpRecall,TrainingEfficiency,0.7985998775973923,Strong
TrainedF1,HypOpPrecision,0.7797293258236629,Strong
TrainedDice,HypOpPrecision,0.7797289672534646,Strong
TrainedPrecision,HypOpRecall,0.7713794361850626,Strong
HypOpNumLayers,ModelComplexity,0.7547202414503922,Strong
HypOpValLoss,HypOpDice,-0.7481059624736462,Strong
HypOpValLoss,HypOpF1,-0.7481031656939506,Strong
HypOpPrecision,HypOpRecall,0.7354777312105881,Strong
GraphMatchingAttackTime,DatasetSize,0.7313043247797991,Strong
LenTrain,DatasetSize,0.7262297054019812,Strong
LenVal,DatasetSize,0.7262116850786989,Strong
TrainedPrecision,HypOpValLoss,-0.7199329182526756,Strong
TrainedPrecision,TrainingEfficiency,0.7169024362617746,Strong
HypOpRecall,LenTrain,0.6903099145400701,Moderate
HypOpRecall,LenVal,0.6902543099739369,Moderate
HypOpPrecision,TrainingEfficiency,0.6777283926355162,Moderate
GraphMatchingAttackTime,ApplicationtoEncodedDataTime,0.6611517341244462,Moderate
TrainedRecall,HypOpPrecision,0.6505826020752548,Moderate
GraphMatchingAttackTime,RefinementandReconstructionTime,0.6489067624152005,Moderate
TrainedPrecision,TrainedRecall,0.6474721401250175,Moderate
TrainedRecall,ReidentificationRatePercent,0.6438603613854533,Moderate
TrainedRecall,ReidentificationRate,0.6438603613854531,Moderate
TrainedRecall,PrivacyRisk,0.6438603613854531,Moderate
HypOpF1,LenTrain,0.6421450345578152,Moderate
HypOpDice,LenTrain,0.6421432234330451,Moderate
HypOpF1,LenVal,0.6420929497713788,Moderate
HypOpDice,LenVal,0.6420911396228357,Moderate
TrainedF1,LenTrain,0.6371211605526692,Moderate
TrainedDice,LenTrain,0.6371210277625721,Moderate
TrainedF1,LenVal,0.6370623164470183,Moderate
TrainedDice,LenVal,0.6370621838232714,Moderate
TrainedDice,HypOpValLoss,-0.6289145660378157,Moderate
TrainedF1,HypOpValLoss,-0.6289130513573541,Moderate
TrainedRecall,ReidentificationRateGreedy,0.6287630820100139,Moderate
TrainedRecall,LenTrain,0.6285921751573217,Moderate
TrainedRecall,LenVal,0.62853680156452,Moderate
HypOpHiddenSize,ModelComplexity,0.6248069685711183,Moderate
ReidentificationRateGreedy,LenTrain,0.6053468715912979,Moderate
ReidentificationRateGreedy,LenVal,0.6052799278813371,Moderate
HypOpValLoss,HypOpRecall,-0.6038544640202754,Moderate
TrainedRecall,ReidentificationRateFuzzy,0.5890011833178864,Moderate
HypOpValLoss,TrainingEfficiency,-0.5867143083795135,Moderate
HypOpRecall,DatasetSize,0.5847607256502834,Moderate
LenTrain,ReidentificationRatePercent,0.5794557849689995,Moderate
ReidentificationRate,LenTrain,0.5794557849689993,Moderate
LenTrain,PrivacyRisk,0.5794557849689991,Moderate
LenVal,ReidentificationRatePercent,0.5793711210575544,Moderate
LenVal,PrivacyRisk,0.5793711210575537,Moderate
ReidentificationRate,LenVal,0.5793711210575537,Moderate
TrainedF1,ReidentificationRatePercent,0.5755727872597104,Moderate
TrainedF1,ReidentificationRate,0.57557278725971,Moderate
TrainedF1,PrivacyRisk,0.57557278725971,Moderate
TrainedDice,ReidentificationRatePercent,0.5755720416746912,Moderate
TrainedDice,PrivacyRisk,0.5755720416746911,Moderate
TrainedDice,ReidentificationRate,0.5755720416746911,Moderate
TrainedF1,ReidentificationRateGreedy,0.5596354145087116,Moderate
TrainedDice,ReidentificationRateGreedy,0.5596346737257194,Moderate
LenTrain,TrainingEfficiency,0.5514962806297554,Moderate
LenVal,TrainingEfficiency,0.5514173021090308,Moderate
ReidentificationRate,TrainingEfficiency,0.5484487103323163,Moderate
PrivacyRisk,TrainingEfficiency,0.5484487103323163,Moderate
ReidentificationRatePercent,TrainingEfficiency,0.5484487103323162,Moderate
ReidentificationRateGreedy,TrainingEfficiency,0.5347230281231123,Moderate
TrainedF1,ReidentificationRateFuzzy,0.5326041172228234,Moderate
TrainedDice,ReidentificationRateFuzzy,0.5326034662511371,Moderate
TrainedRecall,HypOpValLoss,-0.5311314767671468,Moderate
Overlap,ApplicationtoEncodedDataTime,-0.530136574796711,Moderate
HypOpF1,DatasetSize,0.5282322961904894,Moderate
HypOpDice,DatasetSize,0.5282307690262178,Moderate
HypOpRecall,ReidentificationRatePercent,0.5275552631414646,Moderate
ReidentificationRate,HypOpRecall,0.5275552631414643,Moderate
HypOpRecall,PrivacyRisk,0.5275552631414643,Moderate
Overlap,RefinementandReconstructionTime,-0.5242636051670023,Moderate
TrainedDice,DatasetSize,0.52060747778709,Moderate
TrainedF1,DatasetSize,0.5206067688524982,Moderate
ReidentificationRateGreedy,HypOpRecall,0.5180577304222386,Moderate
TrainedRecall,DatasetSize,0.5170766186042491,Moderate
ReidentificationRateFuzzy,TrainingEfficiency,0.5046053575598913,Moderate
