surname	firstname	twostephash	uid
Hassab	 Mr. Hammad	{755203, 1213958, 1440266, 1542157, 647699, 586774, 1545246, 440352, 1533984, 1077797, 729640, 1220664, 14394, 1628227, 1350212, 1951306, 1922636, 861270, 1307743, 496238, 829552, 1261168, 1291894, 1056375, 1153143, 105599, 32383, 815745, 1980547, 505994, 1984651, 1229969, 1740434, 792726, 1431703, 1827990, 47771, 1847963, 998045, 932003, 1201315, 1953959, 1031851, 1346731, 1679533, 1370286, 1645233, 554162, 1128636, 906430, 489663, 1791171, 1238212, 1918154, 1613009, 1568469, 1508569, 233178, 1454815, 1589985, 120036, 1302249, 172779, 404213, 1479414, 1457911, 861944, 1393402, 1535745, 1519366, 44811, 544539, 1454367, 1443618, 1930025, 1550125, 1671475, 385845, 1003835, 1398590, 359743, 1647935, 444225, 264008, 255834, 1297245, 200031, 1117023, 1287521, 1727330, 1561957, 1730917, 867176, 26474, 2020226, 1098629, 1323917, 1580431, 13714, 1504150, 1034650, 787869, 28575, 1565091, 637863, 269224, 170413, 1770416, 1693115, 522174, 1365951, 1174983, 546768, 93141, 463838, 1256414, 775656, 1500136, 1244654, 753136, 1704948, 1959417, 1521659, 313854}	681
Colley	 Mr. Edward Pomeroy	{1722375, 1620488, 996362, 550924, 235022, 309776, 1362449, 1114645, 586774, 1765399, 1511957, 1164312, 265753, 20506, 749085, 576037, 1109030, 729640, 784426, 839214, 236592, 1967670, 39994, 335937, 560710, 1016903, 821840, 1686608, 788050, 1166933, 1637973, 101464, 668249, 1402456, 1507933, 602206, 1505377, 782434, 1432163, 1501802, 2001007, 223859, 423027, 1710707, 1953399, 258685, 968323, 1668741, 1353862, 1845381, 1413769, 126090, 435852, 1903757, 892560, 1229969, 1494161, 1740434, 1643668, 1106578, 877215, 1622688, 1948323, 762539, 523954, 110775, 1340602, 1446077, 2042558, 59584, 2035905, 58562, 1130690, 508101, 1199301, 745673, 1771721, 1918154, 1314509, 113359, 500431, 1777362, 1601748, 1971927, 1840345, 233178, 623326, 982248, 1271019, 1328364, 1386731, 316142, 589039, 806128, 1247471, 1871089, 1955570, 1393402, 1154303, 1902336, 1535745, 1714947, 1245449, 166155, 846608, 1635600, 1654548, 1559322, 1443618, 1998628, 829735, 1760553, 465195, 953132, 481069, 433966, 1177903, 1550125, 1671475, 805173, 272184, 260412, 567102, 927554, 802120, 864076, 1433933, 1442126, 1627474, 1561430, 1676120, 1617758, 200031, 137568, 1526623, 507243, 1470315, 326513, 1151857, 1071475, 281460, 1122678, 1059706, 1812860, 1428349, 522111, 1237375, 1818499, 131972, 372613, 1951619, 491403, 530830, 535950, 1580431, 181137, 2038673, 1028501, 1232278, 494489, 1789338, 834971, 1678235, 881055, 1811880, 243114, 1310634, 1372079, 853936, 337846, 1693115, 540608, 393158, 1174983, 1131982, 1347542, 1256414, 841188, 1044964, 775656, 1594352, 83953, 1553905, 545268, 1704948, 1224698}	662
Karaic	 Mr. Milan	{613376, 1654275, 332297, 599050, 1527824, 1114645, 586774, 1676326, 729640, 254509, 910381, 1269293, 1743406, 2023995, 667710, 335937, 81986, 531524, 702534, 1553994, 644684, 632398, 1620048, 788050, 1867858, 203350, 1802841, 1307228, 394333, 602206, 1313886, 1432668, 1980512, 1497198, 829552, 650354, 494195, 1644666, 1857659, 52362, 126090, 1229969, 1740434, 1070228, 1090197, 1798807, 446107, 1535643, 39072, 625313, 843941, 863419, 1143997, 1024191, 58562, 1130690, 1082057, 1918154, 500431, 739536, 1916120, 233178, 1281258, 691949, 224495, 754, 1159411, 1841914, 218366, 925442, 1646344, 1245449, 525071, 1055510, 1134870, 157466, 635165, 329001, 841513, 1550125, 433966, 1021745, 1671475, 604475, 1603902, 1806664, 1442126, 1005398, 432985, 200031, 1058144, 1091941, 730993, 407413, 1737086, 1338239, 1951619, 1937797, 1443206, 1580431, 1853844, 1790359, 834971, 1889186, 113070, 294831, 348600, 1693115, 400320, 528834, 1174983, 797641, 1620440, 1256414, 1607648, 828385, 775656, 789993, 1704948, 204789}	606
Richards	 Mrs. Sidney (Emily Hocking)	{1729538, 1213958, 2035209, 319498, 147980, 1154579, 272405, 1114645, 1417244, 1167388, 99870, 729632, 1158176, 781349, 1077797, 1098279, 1109030, 1437221, 1610277, 215084, 449580, 1700397, 1743406, 529975, 487992, 332857, 1281594, 1198651, 561212, 1356860, 335937, 417346, 1350212, 976965, 1865797, 383047, 474187, 632398, 259152, 515664, 1620048, 1686608, 1277013, 203350, 1746518, 1380440, 984156, 547421, 1307228, 1307743, 354401, 967267, 527973, 550502, 1140838, 618601, 1412713, 1501802, 1497198, 829552, 393841, 993906, 114291, 114804, 494195, 730739, 738931, 866936, 1090169, 1514109, 626816, 1107073, 11395, 126090, 107660, 1335949, 624272, 1229969, 1395859, 81044, 1749139, 1646742, 1012375, 556701, 1429663, 1492641, 1806499, 1484452, 1948323, 1703080, 510633, 762539, 211116, 1839275, 514226, 554162, 868022, 315067, 1143997, 752830, 1940673, 58562, 1156290, 1070277, 1199301, 96455, 1982152, 1771721, 1551052, 1351373, 860366, 500431, 1598669, 1960141, 1831123, 1916120, 850649, 1170649, 1477849, 1706713, 1821405, 1119966, 1866971, 1260768, 1609953, 1942750, 2009820, 67304, 573676, 152815, 1314548, 1740532, 706806, 1519863, 429307, 1664252, 1438973, 1698046, 375041, 1535745, 1827585, 617732, 1486597, 310024, 665353, 525071, 1635600, 290579, 1572116, 1134870, 522007, 193818, 61724, 567582, 1550623, 29472, 143650, 462114, 343848, 433966, 1786161, 1643827, 1671475, 577337, 1811257, 604475, 1293116, 1603902, 245055, 475458, 702790, 1626952, 1806664, 973132, 1353549, 1442126, 819535, 1508686, 503635, 842581, 1005398, 1914197, 185688, 508248, 249180, 482655, 799072, 1058144, 1135969, 1091941, 1343337, 1579887, 1717103, 326513, 683890, 256372, 407413, 1488759, 1921399, 839033, 2026872, 2020226, 1951619, 807812, 372613, 2032006, 735628, 1970574, 2040719, 1752977, 1432979, 1504150, 1174935, 526233, 1034650, 834971, 1228187, 1371547, 1163166, 1678235, 1708954, 294305, 833953, 897955, 1691554, 1889186, 645542, 54187, 267691, 1597869, 294831, 368560, 602544, 1296304, 1141684, 709557, 3001, 1080763, 1693115, 908734, 1766334, 1855422, 816577, 772548, 1286086, 1973703, 797641, 984009, 934347, 864716, 824782, 673236, 456665, 1393628, 1410524, 743902, 1256414, 1855969, 1768931, 21989, 667623, 775656, 1500136, 1923562, 85483, 1564141, 607217, 1704948, 1521659, 425983}	437
Newell	 Mr. Arthur Webster	{521217, 1014274, 144388, 996362, 1537548, 1553424, 737298, 1114645, 306710, 1713686, 749085, 1545246, 1949733, 679462, 729640, 784426, 689711, 1749553, 1671219, 1196085, 1854005, 442423, 69179, 1413180, 335937, 417346, 843338, 134734, 270927, 788050, 1746518, 597084, 984156, 223838, 602206, 875104, 1320541, 868450, 1907297, 845412, 585319, 1916522, 1875052, 268399, 829552, 1167986, 1651, 951411, 647287, 493690, 484476, 681602, 1697410, 2019459, 1091718, 126090, 1335949, 1229969, 1585297, 1032339, 1740434, 1961620, 730774, 1074331, 1379489, 1562279, 1165994, 1839275, 21683, 1684153, 1994425, 2042558, 971969, 58562, 1932482, 2035905, 745673, 961737, 1918154, 991948, 500431, 872655, 1867479, 233178, 979677, 142048, 1609953, 1084131, 1748712, 152815, 1531120, 1814773, 1965817, 544513, 1535745, 151300, 1763080, 1245449, 625419, 1635600, 711953, 564499, 1488661, 772891, 640284, 1559836, 676639, 1047329, 1443618, 917797, 683816, 465195, 140076, 1550125, 433966, 1497394, 805173, 1284410, 260412, 957244, 1768253, 1729343, 927554, 310083, 264008, 802120, 1442126, 632150, 1005398, 2017115, 1263453, 200031, 1846623, 867176, 157547, 610669, 1588590, 1469296, 1151857, 808821, 1921399, 1290617, 767866, 507773, 669566, 1326463, 1951619, 1023876, 1313161, 1087884, 1580431, 214418, 834971, 752549, 244135, 1462699, 551343, 1770416, 2017715, 93623, 330680, 1693115, 1383359, 43462, 130502, 1174983, 797641, 1682375, 1812429, 740825, 1107417, 1939420, 1256414, 1281504, 1468391, 775656, 1099243, 1246703, 1071088, 200692, 1704948, 1342972}	659
Hewlett	 Mrs. (Mary D Kingcome) 	{613376, 809473, 1729538, 2039809, 1722375, 61448, 1620488, 319498, 814091, 2035209, 1452557, 503310, 923154, 1154579, 1803283, 1114645, 1511957, 1427485, 1437221, 1610277, 802856, 449580, 1700397, 426030, 1548345, 693822, 335937, 1064513, 618059, 1345101, 515664, 821840, 942672, 1872468, 861270, 1380440, 1402456, 1839705, 547421, 897629, 1135712, 1505377, 1223268, 1412713, 496238, 268399, 2001007, 393841, 1709682, 1651, 233588, 263795, 330869, 441462, 1215096, 806515, 1750129, 258685, 1184893, 660605, 285824, 105599, 1530505, 126090, 1463435, 1317517, 1690253, 1229969, 74386, 1740434, 1472667, 1492641, 1814700, 1150637, 1554611, 296125, 1294013, 59584, 1940673, 58562, 1298115, 1983174, 1982152, 991948, 1960141, 113359, 500431, 267473, 1734353, 1601748, 1568469, 1867479, 850649, 1170649, 1434844, 623326, 1224414, 1844449, 1302249, 1271019, 1386731, 722160, 1217776, 1410804, 404213, 1416951, 1519863, 551161, 561405, 768253, 1782013, 785664, 1535745, 443659, 290579, 473365, 1559322, 140059, 29472, 462114, 50468, 1351461, 829735, 433966, 1263919, 1671475, 800564, 428341, 702790, 1336648, 1161545, 864076, 674125, 1442126, 934226, 1627474, 1914197, 632150, 1816921, 948058, 958810, 1617758, 1526623, 137568, 799072, 1730917, 1343337, 1081707, 1920875, 1796463, 662384, 979826, 1012085, 1488759, 1212792, 418174, 83327, 247681, 792961, 1951619, 2032006, 530830, 1580431, 1970574, 1752977, 1232278, 834971, 511904, 294305, 833953, 880547, 1253796, 1565091, 645542, 1041319, 1804707, 243114, 1857454, 602544, 709557, 337846, 93623, 994229, 1693115, 1766334, 540608, 887745, 396739, 772548, 1026501, 130502, 1286086, 1682375, 12745, 1795525, 1131982, 1098194, 1174484, 422870, 372184, 582616, 1240027, 52188, 784349, 1256414, 1447390, 1569757, 1607648, 506850, 1395682, 1044964, 21989, 667623, 775656, 1923562, 331755, 416749, 678381, 545268, 1704948, 1299958, 1756663, 1893365, 1333759}	15
Robert	 Mrs. Edward Scott (Elisabeth Walton McMillan)	{98310, 370694, 550924, 1527824, 1765399, 1417244, 1556509, 1976351, 753708, 970797, 94256, 1560625, 442423, 14394, 2039870, 335937, 897094, 1620048, 1951825, 770140, 602206, 809056, 1675361, 782434, 868450, 1980512, 1497198, 1353862, 323721, 1466507, 1005710, 962715, 39072, 843941, 1544371, 1446077, 2035905, 1130690, 508101, 96455, 745673, 1278153, 1726666, 1960141, 872655, 1806559, 952545, 1663206, 1247471, 471281, 1159411, 1814773, 1513718, 561405, 1628417, 166155, 622867, 1607956, 1134870, 635165, 1147173, 829735, 276776, 465195, 1671475, 805173, 604475, 260412, 1603902, 786752, 475458, 1806664, 1161545, 1442126, 934226, 592220, 792927, 1091941, -1685, 528747, 1796462, 45425, 1071475, 1212792, 2032006, 1859979, 1087884, 833953, 348600, 1702333, 772548, 1210833, 1061330, 1044964, 975337, 1333759, 397824, 1493509, 1614342, 1620488, 1440266, 309776, 647699, 1114645, 231961, 1137179, 350752, 254509, 1700397, 1743406, 510516, 68154, 2023995, 1245764, 881224, 1276490, 520782, 942672, 879188, 203350, 1802841, 1839705, 1884761, 1307228, 701029, 1501802, 993906, 223859, 494195, 1167986, 211578, 1514109, 957063, 1413769, 1530505, 1317517, 1106578, 1581733, 1708709, 1721010, 2042558, 500431, 1710799, 25297, 803541, 850649, 142048, 316142, 1340148, 1479414, 2011895, 1393402, 824070, 1313544, 965385, 1002251, 846608, 1817363, 908056, 1151774, 1047329, 140076, 572207, 1921845, 256823, 1731385, 836415, 1561430, 1676120, 432985, 293730, 1153898, 428909, 1858414, 762735, 1469296, 326513, 1000309, 181137, 91028, 1889186, 1029036, 1141684, 123829, 709557, 394170, 1383359, 400320, 1461186, 580547, 797641, 1821648, 768982, 992220, 1256414, 1594352, 1704948, 1430525, 613376, 1729538, 996362, 1049619, 1164312, 1545246, 1678375, 236592, 105522, 21557, 652341, 801846, 332857, 1518668, 259152, 1686608, 1938517, 1463385, 597084, 984156, 1100895, 1184893, 126090, 107660, 982161, 1229969, 1494161, 1643668, 1827990, 1324192, 1143997, 971969, 58562, 1895620, 267473, 31955, 1170649, 1058012, 2028764, 1844449, 120036, 589039, 1217776, 1871089, 531702, 218366, 1213705, 329001, 1787180, 656690, 44345, 1647935, 474436, 1420617, 1088854, 249180, 626033, 1326463, 1580431, 1635732, 1228187, 1271218, 1693115, 1795525, 1131986, 773598, 323040, 1281504, 775656, 789993, 1289705, 988662, 1756663, 1025534, 755203, 1654275, 2035209, 1537548, 568848, 306710, 749085, 425505, 1437221, 679462, 839214, 1031737, 693822, 644684, 2008652, 632398, 1637973, 1740376, 546414, 263795, 1953399, 968323, 435852, 446107, 439975, 1478328, 1691336, 112330, 1351373, 2023123, 1363674, 34532, 691949, 861944, 1902336, 1535745, 925442, 1775362, 272133, 1486597, 1646344, 524046, 1750799, 943891, 157466, 1998628, 780076, 481069, 433966, 1371948, 1021745, 739124, 501560, 567102, 1398590, 927554, 1498951, 1343306, 864076, 194385, 1617758, 505699, 1904484, 1345390, 669566, 1427330, 456579, 491403, 534424, 1572763, 1163166, 511904, 264108, 294831, 368560, 522174, 1433541, 1812429, 1892304, 1785811, 1347542, 1148893, 1011680, 1994722, 667623, 1488878, 83953, 454644, 901116}	779
Coleridge	 Mr. Reginald Charles	{1813509, 1213958, 98310, 1620488, 849414, 319498, 996362, 550924, 235022, 120341, 586774, 1114645, 778777, 178715, 1167388, 1158176, 88097, 811042, 1567779, 1077797, 729640, 1672233, 970797, 1407025, 537651, 1196085, 1259579, 489534, 335937, 155203, 1137220, 1350212, 560710, 1016903, 1490503, 474187, 910414, 515664, 1907281, 788050, 1870934, 672345, 1839705, 602206, 1307743, 22624, 354401, 856162, 1523806, 701029, 362094, 1899632, 1699441, 1804402, 223859, 1109110, 1090169, 973435, 1514109, 130685, 1488511, 105599, 1413769, 126090, 965259, 1973386, 1216141, 634510, 892560, 1229969, 1740434, 1395859, 81044, 252569, 1509547, 211116, 138930, 554162, 868022, 110775, 2042558, 1856193, 58562, 801474, 1156290, 508101, 1940673, 2035905, 1918154, 1598669, 500431, 1888975, 1777362, 1601748, 233178, 599770, 831196, 1862877, 623326, 1026784, 1260768, 580324, 813804, 706806, 1650423, 1530619, 1592059, 961277, 1664252, 1698046, 1914623, 375041, 1535745, 617732, 665353, 1245449, 1341194, 691473, 1572116, 2005271, 193818, 61724, 29472, 143650, 462114, 1403171, 1443618, 829735, 1326888, 1550125, 433966, 1015087, 1671475, 805173, 260412, 1165631, 1647935, 66370, 927554, 1398085, 1743177, 1857869, 1442126, 819535, 1305424, 1816921, 255834, 487771, 782172, 1617758, 200031, 799072, 1526623, 1559393, 109928, 1589609, 157547, 1020268, 1717103, 114033, 281460, 1122678, 1714553, 923520, 2020226, 1951619, 1055110, 1580431, 512403, 1262486, 1504150, 494489, 834971, 890783, 294305, 243114, 963499, 966060, 1043373, 1821103, 368560, 1296304, 1271218, 1193396, 709557, 337846, 330680, 1693115, 1498046, 540608, 544707, 824772, 1492419, 393158, 1174983, 1286086, 328652, 864716, 1337293, 1812429, 1892304, 1210833, 1626577, 456665, 1421274, 1691099, 1569757, 1256414, 907743, 1994722, 1044964, 1794022, 775656, 1500136, 1923562, 150507, 1758700, 1071088, 1553905, 1704948, 592373, 988662, 485367, 1521659}	242
Theobald	 Mr. Thomas Leonard	{379910, 568848, 1894417, 120341, 586774, 1114645, 1511957, 818717, 1545246, 1556514, 729640, 1281576, 1533483, 970797, 1357359, 801846, 1220664, 1548345, 68154, 561212, 489534, 2039870, 335937, 1607758, 1686608, 1907281, 788050, 1402456, 1879642, 1167451, 602206, 1559140, 701029, 1412713, 1501802, 198764, 1014893, 362094, 496238, 829552, 1261168, 1699441, 423027, 233588, 1804402, 441462, 1899632, 591483, 1097340, 258685, 106109, 957063, 126090, 505994, 634510, 1229969, 1740434, 924307, 1450132, 549531, 762539, 1814700, 21683, 1644214, 1942199, 1478328, 1150652, 59584, 58562, 1070277, 645832, 1278153, 864458, 1918154, 1551052, 500431, 433875, 1601748, 1568469, 1925331, 1867479, 233178, 1224414, 142048, 1302249, 1386731, 404213, 1416951, 1496823, 1123583, 1914623, 1535745, 1775362, 1245449, 1635600, 691473, 943891, 473365, 1206040, 471833, 932633, 862491, 2003224, 763165, 1047329, 1443618, 1587490, 1147173, 1757480, 1550125, 572207, 1767729, 1786161, 1671475, 501560, 359743, 1647935, 574273, 860481, 1742146, 977732, 1398085, 1420617, 1353549, 1442126, 387926, 1819478, 121176, 1816921, 962394, 1297245, 1526623, 137568, 650749, 1730917, 1796462, 1579887, 326513, 683890, 914293, 696696, 839033, 1983864, 1324411, 75644, 669566, 1951619, 296326, 1087884, 992150, 807321, 834971, 1678235, 1565091, 637863, 269224, 243114, 1011114, 1770416, 1193396, 337846, 1693115, 1498046, 1383359, 540608, 816577, 393158, 1174983, 1162188, 1131982, 1210833, 1271761, 1410524, 784349, 1256414, 323040, 1311712, 1994722, 1768931, 775656, 1758700, 678381, 1553905, 454644, 1363445, 330742, 988662, 1704948, 622589}	758
Osman	 Mrs. Mara	{1729538, 1493509, 2035209, 1527824, 1114645, 1437221, 1700397, 1790509, 1854005, 529466, 2023995, 1198651, 335937, 702534, 383047, 1553994, 644684, 632398, 1717331, 861270, 1432668, 394333, 547421, 602206, 1140838, 496238, 829552, 650354, 441462, 1090169, 105599, 126090, 505994, 1229969, 1740434, 1798807, 962715, 39072, 1703080, 373945, 1024191, 58562, 1726666, 667851, 1960141, 500431, 739536, 31955, 1568469, 850649, 1170649, 174816, 34532, 1302249, 224495, 404213, 2011895, 1519863, 218366, 1535745, 199959, 157466, 329001, 1787180, 433966, 1671475, 624459, 1442126, 1516372, 185688, 249180, 792927, 1730917, 1343337, 1737086, 1951619, 1937797, 2032006, 1544077, 1580431, 834971, 1237408, 509345, 833953, 1565091, 99755, 267691, 113070, 994229, 1072056, 1693115, 513987, 772548, 762310, 934347, 1892304, 1620440, 1256414, 828385, 1442786, 21989, 775656, 331755, 1704948}	797
