output_dim,num_layers,hidden_layer_size,dropout_rate,activation_fn,optimizer,loss_fn,threshold,lr_scheduler,batch_size,average_dice,average_precision,average_recall,average_f1
1036,2,1024,0.36347100827684564,tanh,"{'name': 'RMSprop', 'lr': 0.0007163457648875775}",MultiLabelSoftMarginLoss,0.3252844682113818,"{'name': 'ExponentialLR', 'gamma': 0.8930813865110119}",8,0.048239772727272735,0.03719008264462811,0.06922435703078057,0.048245581943845046
1036,2,1024,0.14446311160975298,relu,"{'name': 'Adam', 'lr': 1.6718135834133568e-05}",SoftMarginLoss,0.6180283201697641,{'name': 'None'},64,0.20192386363636372,0.15564738292011016,0.2897817956887565,0.20192024635908093
1036,1,128,0.37132814347175247,selu,"{'name': 'Adam', 'lr': 0.00047811178423406184}",MultiLabelSoftMarginLoss,0.6770378170032201,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.49886810057028985, 'patience': 15}",16,0.10025227272727272,0.9204545454545454,0.05306094344116407,0.10025980562778156
1036,2,128,0.3222150820126086,tanh,"{'name': 'SGD', 'lr': 0.007965039462930295, 'momentum': 0.8505390561537209}",BCEWithLogitsLoss,0.5080104159339704,"{'name': 'CosineAnnealingLR', 'T_max': 14.441547220671376, 'eta_min': 1e-06}",64,0.016078409090909088,0.01239669421487603,0.023039826435456587,0.01608183335920915
1036,2,128,0.2916585129274697,relu,"{'name': 'Adam', 'lr': 3.901904750009937e-05}",MultiLabelSoftMarginLoss,0.44150307553133605,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.33241859651356603, 'patience': 15}",16,0.10025227272727272,0.9204545454545454,0.05306094344116407,0.10025980562778156
1036,2,1024,0.27759714026283944,relu,"{'name': 'SGD', 'lr': 0.005073787874163927, 'momentum': 0.7671345979304193}",MultiLabelSoftMarginLoss,0.4548253546138038,"{'name': 'StepLR', 'step_size': 20, 'gamma': 0.7597449913823492}",8,0.021826136363636367,0.016873278236914604,0.0311581026843657,0.021826229715934484
1036,3,2048,0.22565883575580375,gelu,"{'name': 'RMSprop', 'lr': 3.566459239376576e-05}",BCEWithLogitsLoss,0.780635162395074,"{'name': 'StepLR', 'step_size': 20, 'gamma': 0.3917119928110264}",16,0.10025227272727272,0.9204545454545454,0.05306094344116407,0.10025980562778156
1036,2,512,0.3924914254976971,selu,"{'name': 'Adam', 'lr': 0.0005191833950895749}",SoftMarginLoss,0.3460765194390108,"{'name': 'ExponentialLR', 'gamma': 0.8872726892324921}",64,0.2126840909090909,0.1632231404958678,0.30799082275639894,0.21268169200666961
1036,1,256,0.25551259211803323,gelu,"{'name': 'Adam', 'lr': 0.00010691875010819119}",BCEWithLogitsLoss,0.5810962092693004,"{'name': 'ExponentialLR', 'gamma': 0.8649639413684684}",32,0.004922727272727273,0.016856060606060604,0.002922965351455054,0.004924242424242425
1036,1,128,0.3548730650790811,elu,"{'name': 'SGD', 'lr': 0.0020904404769467922, 'momentum': 0.82771848241517}",SoftMarginLoss,0.5158413026869313,"{'name': 'ExponentialLR', 'gamma': 0.9505826193823382}",16,0.013851136363636362,0.010674931129476583,0.019883746726551795,0.013852711634310644
