output_dim,num_layers,hidden_layer_size,dropout_rate,activation_fn,optimizer,loss_fn,threshold,lr_scheduler,batch_size,average_dice,average_precision,average_recall,average_f1
1036,2,128,0.14168928537023184,gelu,"{'name': 'AdamW', 'lr': 0.0006825844615772171}",SoftMarginLoss,0.3641270706938049,"{'name': 'CyclicLR', 'base_lr': 0.000992098647897705, 'max_lr': 0.03639495206689748, 'step_size_up': 2000, 'mode_cyclic': 'triangular2'}",64,0.1844553956834532,0.1399607586657946,0.2924174776581685,0.18445602877878023
1036,3,256,0.11283582010396576,tanh,"{'name': 'SGD', 'lr': 0.0006381022513292954, 'momentum': 0.7321084203570218}",MultiLabelSoftMarginLoss,0.3775972780343188,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.48740542275327925, 'patience': 5}",32,0.02087913669064748,0.015478526269893171,0.03390533382342169,0.020877023659471004
1036,3,256,0.35657429564489207,gelu,"{'name': 'SGD', 'lr': 0.002567980208353211, 'momentum': 0.8960273465165364}",MultiLabelSoftMarginLoss,0.6808844168753785,{'name': 'None'},64,0.0,0.0,0.0,0.0
1036,3,1024,0.2619978749195919,tanh,"{'name': 'AdamW', 'lr': 7.399720359147567e-05}",BCEWithLogitsLoss,0.4299355773823912,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.29523690410599035, 'patience': 10}",16,0.09510143884892086,0.7338129496402878,0.05133463480592699,0.09510503519498528
1036,1,1024,0.2007956773668827,leaky_relu,"{'name': 'SGD', 'lr': 0.00010376806724248013, 'momentum': 0.487160888334531}",BCEWithLogitsLoss,0.7759971539450217,{'name': 'None'},16,0.0,0.0,0.0,0.0
1036,3,1024,0.37386534588436104,relu,"{'name': 'RMSprop', 'lr': 0.00011553715344902688}",BCEWithLogitsLoss,0.6231541770705538,"{'name': 'StepLR', 'step_size': 5, 'gamma': 0.6513837890903615}",16,0.09510143884892086,0.7338129496402878,0.05133463480592699,0.09510503519498528
1036,2,256,0.20972065597953693,relu,"{'name': 'Adam', 'lr': 1.6359376600139346e-05}",SoftMarginLoss,0.40227613312095795,"{'name': 'StepLR', 'step_size': 5, 'gamma': 0.4484040219626074}",8,0.17544316546762587,0.13254850664922604,0.2796697040730651,0.1754459862150802
1036,1,2048,0.19356726003119074,relu,"{'name': 'SGD', 'lr': 0.0001395394541565285, 'momentum': 0.778320842506231}",SoftMarginLoss,0.4319447801528254,{'name': 'None'},16,0.027793525179856112,0.021582733812949638,0.04123466515957412,0.02779067613774329
1036,2,1024,0.29061325489482026,leaky_relu,"{'name': 'SGD', 'lr': 0.0005674138644930745, 'momentum': 0.0993638201441034}",MultiLabelSoftMarginLoss,0.49083044635928025,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.3535116158173003, 'patience': 10}",16,0.0459273381294964,0.03488118596032264,0.07363885923756114,0.04592582167260443
1036,2,2048,0.3081756334060076,gelu,"{'name': 'SGD', 'lr': 0.0015807266825778085, 'momentum': 0.056996146649769146}",MultiLabelSoftMarginLoss,0.7080705084042512,"{'name': 'CyclicLR', 'base_lr': 0.0003588320750208357, 'max_lr': 0.005836608491766816, 'step_size_up': 4000, 'mode_cyclic': 'triangular2'}",64,0.0,0.0,0.0,0.0
1036,3,128,0.39840126738070103,leaky_relu,"{'name': 'Adam', 'lr': 7.873182222248994e-05}",MultiLabelSoftMarginLoss,0.45612841226909145,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.23847003092245164, 'patience': 10}",16,0.09510143884892086,0.7338129496402878,0.05133463480592699,0.09510503519498528
1036,1,128,0.35926745250195147,gelu,"{'name': 'Adam', 'lr': 0.0004131952643445311}",BCEWithLogitsLoss,0.3473053288234725,"{'name': 'StepLR', 'step_size': 5, 'gamma': 0.39202024323105844}",16,0.13564028776978418,0.5031175059952039,0.08609928764695463,0.13564207163348607
