output_dim,num_layers,hidden_layer_size,dropout_rate,activation_fn,optimizer,loss_fn,threshold,lr_scheduler,batch_size,average_dice,average_precision,average_recall,average_f1
1036,1,256,0.10044589114210736,tanh,"{'name': 'RMSprop', 'lr': 8.655721490809014e-05}",SoftMarginLoss,0.3941240003558285,"{'name': 'CyclicLR', 'base_lr': 0.0007536270516287355, 'max_lr': 0.0023532285630378227, 'step_size_up': 4000, 'mode_cyclic': 'triangular2'}",8,0.257489898989899,0.19589837771655955,0.40493404248449993,0.25748767377978327
1036,2,256,0.3237227791598454,relu,"{'name': 'RMSprop', 'lr': 0.0009740381597927171}",BCEWithLogitsLoss,0.5293809831121767,"{'name': 'CosineAnnealingLR', 'T_max': 24.454552784434576, 'eta_min': 0}",8,0.2735535353535354,0.9777777777777777,0.16810597687099615,0.273558033453317
1036,1,1024,0.19252394797631656,tanh,"{'name': 'SGD', 'lr': 0.00011080131384308227, 'momentum': 0.8604303981382243}",BCEWithLogitsLoss,0.63918080584069,{'name': 'None'},64,0.0006737373737373737,0.003367003367003367,0.0003741114852225963,0.0006734006734006734
1036,1,128,0.38913092185811626,tanh,"{'name': 'SGD', 'lr': 0.001283090922329761, 'momentum': 0.6026357127564341}",BCEWithLogitsLoss,0.48970789604039655,"{'name': 'CosineAnnealingLR', 'T_max': 44.45669141965986, 'eta_min': 1e-06}",16,0.019522222222222222,0.014692378328741965,0.03168000236462147,0.01952191790000453
1036,1,1024,0.34321854245072325,relu,"{'name': 'RMSprop', 'lr': 2.0264208944982126e-05}",BCEWithLogitsLoss,0.30577136680085143,"{'name': 'CosineAnnealingLR', 'T_max': 32.55174026308097, 'eta_min': 1e-05}",8,0.2562050505050505,0.7216690716690716,0.16321508172399643,0.2562118181140537
1036,2,256,0.39906486626430837,gelu,"{'name': 'SGD', 'lr': 0.0001708822287486342, 'momentum': 0.3565605316816536}",SoftMarginLoss,0.7291042881377228,"{'name': 'StepLR', 'step_size': 5, 'gamma': 0.8383440624804853}",32,0.0,0.0,0.0,0.0
1036,1,1024,0.13250760324224373,gelu,"{'name': 'AdamW', 'lr': 0.0005863414445259147}",SoftMarginLoss,0.7176758828275527,"{'name': 'ExponentialLR', 'gamma': 0.9132923914474561}",64,0.0,0.0,0.0,0.0
1036,3,512,0.1568313470885524,gelu,"{'name': 'SGD', 'lr': 0.005180669735611856, 'momentum': 0.04791192312630795}",SoftMarginLoss,0.5326784263910473,"{'name': 'CyclicLR', 'base_lr': 1.9816860332210158e-05, 'max_lr': 0.006728765557748221, 'step_size_up': 2000, 'mode_cyclic': 'triangular2'}",8,0.0,0.0,0.0,0.0
1036,3,1024,0.316977885478803,relu,"{'name': 'RMSprop', 'lr': 3.3652265531962326e-05}",MultiLabelSoftMarginLoss,0.68096135763231,"{'name': 'ExponentialLR', 'gamma': 0.8999067339186902}",16,0.10113333333333331,0.7777777777777778,0.05462894290261719,0.10113808153228068
1036,2,1024,0.2950326810278362,tanh,"{'name': 'AdamW', 'lr': 2.1161780338426525e-05}",MultiLabelSoftMarginLoss,0.302811755169941,"{'name': 'CosineAnnealingLR', 'T_max': 21.97303342061213, 'eta_min': 0}",8,0.16893333333333332,0.5117845117845118,0.10328091640924505,0.16893882646920388
