output_dim,num_layers,hidden_layer_size,dropout_rate,activation_fn,optimizer,loss_fn,threshold,lr_scheduler,batch_size,average_dice,average_precision,average_recall,average_f1
1036,2,256,0.31282430848934584,tanh,"{'name': 'RMSprop', 'lr': 0.0006395641767114082}",MultiLabelSoftMarginLoss,0.37779124479413667,"{'name': 'ExponentialLR', 'gamma': 0.9241973671809586}",16,0.05903220562390161,0.04462906747616766,0.08802985615791793,0.059035456232410806
1036,3,512,0.28063752405319736,gelu,"{'name': 'AdamW', 'lr': 2.581327598998969e-05}",SoftMarginLoss,0.5078234065507683,"{'name': 'ExponentialLR', 'gamma': 0.890067715349069}",64,0.18679112478031637,0.14194226979815724,0.27580685334660815,0.18678957126581375
1036,3,512,0.3946732282865162,gelu,"{'name': 'RMSprop', 'lr': 0.0003336407475646659}",SoftMarginLoss,0.4116480194372893,"{'name': 'ExponentialLR', 'gamma': 0.9050870298399519}",16,0.208855316344464,0.15879799755019441,0.3081246221586074,0.20885348388760103
1036,1,2048,0.32886462629695423,tanh,"{'name': 'SGD', 'lr': 0.00010844623849303835, 'momentum': 0.44500364015570454}",BCEWithLogitsLoss,0.62257678707467,"{'name': 'ExponentialLR', 'gamma': 0.8640460836015565}",16,0.0,0.0,0.0,0.0
1036,1,256,0.32587901777300143,elu,"{'name': 'Adam', 'lr': 4.4624932747280196e-05}",MultiLabelSoftMarginLoss,0.48995814941616334,"{'name': 'ExponentialLR', 'gamma': 0.8567652757904867}",64,0.027237214411247802,0.020703520264152935,0.04017795930546994,0.027238286615734675
1036,3,1024,0.33925153573012085,relu,"{'name': 'RMSprop', 'lr': 1.0091720395561784e-05}",MultiLabelSoftMarginLoss,0.6208157004393536,"{'name': 'CosineAnnealingLR', 'T_max': 17.05892309361679, 'eta_min': 1e-05}",64,0.851507908611599,0.9631904289128684,0.7687104995420541,0.851505732411689
1036,2,1024,0.14772717930330442,selu,"{'name': 'AdamW', 'lr': 0.00010098391702725114}",SoftMarginLoss,0.5381405307686267,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.44209277085787635, 'patience': 5}",64,0.2236030316344464,0.17002183522394423,0.3297747644833763,0.22360114988032162
1036,2,512,0.2811940670447918,elu,"{'name': 'SGD', 'lr': 0.00010015037840393549, 'momentum': 0.1887267703294909}",BCEWithLogitsLoss,0.41063649898722776,"{'name': 'CosineAnnealingLR', 'T_max': 19.62763443964884, 'eta_min': 1e-05}",64,0.02307161687170474,0.017561378281940664,0.033944923799312195,0.023072609167634206
1036,3,2048,0.2651249699539222,elu,"{'name': 'RMSprop', 'lr': 9.467486277258122e-05}",SoftMarginLoss,0.4367006064782912,"{'name': 'StepLR', 'step_size': 5, 'gamma': 0.3923140706571656}",8,0.20213708260105462,0.15359216062203773,0.2985408359079818,0.20213594065465085
1036,3,128,0.3252250354999975,tanh,"{'name': 'SGD', 'lr': 0.000210897159911334, 'momentum': 0.43787954044896216}",SoftMarginLoss,0.49764135643353263,"{'name': 'CyclicLR', 'base_lr': 0.00010543133226778696, 'max_lr': 0.03971969087391803, 'step_size_up': 2000, 'mode_cyclic': 'exp_range'}",16,0.12233607205623903,0.09279970176279487,0.18126042603885292,0.12234159127658435
