output_dim,num_layers,hidden_layer_size,dropout_rate,activation_fn,optimizer,loss_fn,threshold,lr_scheduler,batch_size,average_dice,average_precision,average_recall,average_f1
1036,2,1024,0.3372065879339139,elu,"{'name': 'AdamW', 'lr': 0.00040857635030690264}",SoftMarginLoss,0.33727948144106445,{'name': 'None'},8,0.22293313885647606,0.17057388352604216,0.32481455630569456,0.222931558902057
1036,3,1024,0.31555048468270286,selu,"{'name': 'SGD', 'lr': 0.008891245394670655, 'momentum': 0.04471322680293491}",SoftMarginLoss,0.3970750978721997,"{'name': 'CosineAnnealingLR', 'T_max': 46.19179840672446, 'eta_min': 1e-06}",32,0.026096616102683788,0.02004879601145645,0.03772840337479638,0.026097055104196108
1036,3,1024,0.3526264689507441,selu,"{'name': 'RMSprop', 'lr': 3.382006357257964e-05}",MultiLabelSoftMarginLoss,0.4704380676639858,"{'name': 'ReduceLROnPlateau', 'mode': 'min', 'factor': 0.23750924713503574, 'patience': 10}",64,0.7893932322053674,0.9668172498823645,0.6756382203436111,0.7893922013183189
1036,2,256,0.2539470640409903,leaky_relu,"{'name': 'AdamW', 'lr': 0.0001928466836808955}",MultiLabelSoftMarginLoss,0.5326117718995695,"{'name': 'CosineAnnealingLR', 'T_max': 11.732111808841934, 'eta_min': 1e-05}",32,0.10148331388564762,0.926487747957993,0.05372953724232686,0.10149023090033933
1036,1,2048,0.3287381782267671,leaky_relu,"{'name': 'SGD', 'lr': 0.0038752008811895502, 'momentum': 0.04788291471817274}",SoftMarginLoss,0.5886839281209268,"{'name': 'CosineAnnealingLR', 'T_max': 37.29674497932467, 'eta_min': 0}",16,0.0,0.0,0.0,0.0
1036,2,1024,0.28439449563432706,gelu,"{'name': 'SGD', 'lr': 0.0004075243534337429, 'momentum': 0.7108948206542841}",BCEWithLogitsLoss,0.3296554290894881,{'name': 'None'},16,0.031551458576429416,0.024291927442452538,0.04543980958832924,0.03155349157621796
1036,3,512,0.2815660055619863,relu,"{'name': 'RMSprop', 'lr': 0.0003382282159279758}",MultiLabelSoftMarginLoss,0.48987733705593955,{'name': 'None'},16,0.6503772462077012,0.8608349991108382,0.5324575013537934,0.6503754129366913
1036,3,1024,0.3013921519293679,gelu,"{'name': 'Adam', 'lr': 2.6401701333872586e-05}",BCEWithLogitsLoss,0.717911219302558,"{'name': 'CosineAnnealingLR', 'T_max': 19.2019286807315, 'eta_min': 1e-06}",32,0.10148331388564762,0.926487747957993,0.05372953724232686,0.10149023090033933
1036,2,128,0.384616173303056,gelu,"{'name': 'SGD', 'lr': 0.0038715051758129206, 'momentum': 0.5500660690358103}",SoftMarginLoss,0.3090811772272093,"{'name': 'StepLR', 'step_size': 20, 'gamma': 0.3160601489471778}",8,0.018595215869311548,0.014249849722428501,0.02701380761360865,0.01859475456328491
1036,2,2048,0.20026207050423933,tanh,"{'name': 'RMSprop', 'lr': 8.400306202593971e-05}",BCEWithLogitsLoss,0.5767693510140603,"{'name': 'ExponentialLR', 'gamma': 0.9250114029292041}",32,0.10148331388564762,0.926487747957993,0.05372953724232686,0.10149023090033933
